"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ensembl_gene_id"	"chromosome_name"	"external_gene_name"	"padj"	"gene"
-6.04342954376122	4.73405564380381	-0.245177882765005	0.810383118870628	0.999055673530808	-4.59530755481057	"ENSG00000283352"	NA	NA	0.999055673530808	NA
11.010373804807	-60.7504335850136	0.245088861417962	0.810450492341178	0.999055673530808	-4.59530756419113	"ENSG00000143157"	NA	NA	0.999055673530808	NA
10.0080142736559	-52.2734535742099	0.245004940631821	0.810514007035029	0.999055673530808	-4.59530757303116	"ENSG00000141027"	NA	NA	0.999055673530808	NA
19.4906680227288	-54.8772975995685	0.245002396787848	0.810515932342465	0.999055673530808	-4.59530757329907	"ENSG00000120697"	NA	NA	0.999055673530808	NA
44.2589933040592	29.2427568958334	0.244987476867536	0.810527224505026	0.999055673530808	-4.59530757487038	"ENSG00000109458"	NA	NA	0.999055673530808	NA
-15.7538861301121	-57.4490408533978	-0.244987075383268	0.810527528369569	0.999055673530808	-4.59530757491266	"ENSG00000086102"	NA	NA	0.999055673530808	NA
6.05744494529756	18.3310608024043	0.244956011597955	0.810551039183981	0.999055673530808	-4.59530757818386	"ENSG00000235903"	NA	NA	0.999055673530808	NA
-6.57255004103298	8.13459547098125	-0.244950228282011	0.810555416343012	0.999055673530808	-4.59530757879283	"ENSG00000162409"	NA	NA	0.999055673530808	NA
-14.2585914966646	1.24557556061699	-0.24487102922219	0.810615359594772	0.999055673530808	-4.59530758713094	"ENSG00000256007"	NA	NA	0.999055673530808	NA
-8.61200063897692	-17.4655316944593	-0.244858843636065	0.810624582588795	0.999055673530808	-4.59530758841361	"ENSG00000198056"	NA	NA	0.999055673530808	NA
12.2004609967488	8.62272891831537	0.244811690638715	0.810660271903132	0.999055673530808	-4.59530759337639	"ENSG00000169242"	NA	NA	0.999055673530808	NA
14.3038621754823	19.9996092220713	0.24475037028667	0.810706684914437	0.999055673530808	-4.59530759982887	"ENSG00000225506"	NA	NA	0.999055673530808	NA
